Surface melt rate,,,,
G(h)_W/m2,Gb(n)_W/m2,Gd(h)_W/m2,IR(h)_W/m2,RH_%
0,0,0,264.4,55
0,0,0,262.6,59
0,0,0,277.8,68
0,0,0,279,79
0,0,0,263.4,85
0,0,0,265.4,85
9.05,0,0,264,83
59.33,0,22,258,79
137.44,0,39,269,68
223.36,5.64,121,268.2,68
298.77,86.42,218,305.4,67
380.9,533.09,198,310.4,63
461.78,296.44,285,307,62
421.25,14.35,256,289.6,60
418.67,0,178,285.6,62
383.97,6.99,212,268.8,59
317.07,309.67,226,267.6,58
228.84,450.77,150,268.2,53
132.45,197.61,122,261,49
51.97,382.31,48,261.2,46
0,0,0,245.2,65
0,0,0,236.8,62
0,0,0,256.2,64
0,0,0,253.6,69
0,0,0,256.2,85
0,0,0,266.4,88
0,0,0,273.8,90
0,0,0,282.2,92
0,0,0,295.4,92
0,0,0,274.6,93
9.56,0,0,289.6,94
70.56,0,6,293.8,94
180.27,0,33,290.6,94
298,2.77,110,290.8,95
398.7,12.81,181,296.2,94
484.76,137.4,272,292.2,86
545.88,773.4,141,295.4,79
539.07,784.5,144,300.2,69
488.37,447.46,257,296.4,63
396.75,298.17,270,295,56
322.86,422.33,205,299.4,48
232.11,199.12,188,294.8,46
136.27,162.52,125,266.4,45
56.57,13,46,281.6,43
0,0,0,275.2,53
0,0,0,267.4,53
0,0,0,277.2,74
0,0,0,274.2,62
0,0,0,278.4,67
0,0,0,280.8,74
0,0,0,277.6,75
0,0,0,277.4,75
0,0,0,276.4,78
0,0,0,263,83
9.59,0,0,255.6,81
50.19,0,6,258.8,79
113.84,0,18,276.4,82
184.06,8.19,126,278.2,85
253.02,101.28,226,268.6,79
305.59,227.42,271,274.6,76
300.54,745.79,152,283.8,74
318.08,105.15,317,270.4,72
338.61,345.01,286,279.8,67
304.6,34.39,257,288.6,68
249.07,0,109,295,68
178.95,12.3,154,285.8,64
106.93,298.9,119,291.8,64
41.69,170.15,62,304,64
6.29,0,0,264,65
0,0,0,260.8,66
0,0,0,275.6,68
0,0,0,286.4,69
0,0,0,278.4,70
0,0,0,253.6,71
0,0,0,245.4,72
0,0,0,241,74
0,0,0,238.2,75
0,0,0,238.6,77
12.8,0,0,240.2,79
77.23,0,7,244.2,79
184.85,72.32,104,244.8,75
306.91,18.82,143,249.6,75
425.79,544.46,165,248.4,71
523.66,487.87,217,249.6,66
591.55,705.8,168,257,62
648.05,272.56,310,260.2,57
630.27,299.62,299,296.6,52
560.98,105.77,289,311.2,48
457.41,1.96,166,305,44
325.14,0,124,312.8,50
189.48,3.42,94,305.8,51
70.81,6.12,48,301.8,52
7.3,0,0,299.2,51
0,0,0,271,51
0,0,0,254,55
0,0,0,247.8,59
0,0,0,244.6,62
0,0,0,241.2,65
0,0,0,243.8,67
0,0,0,250.6,63
0,0,0,261.4,59
0,0,0,261.6,58
15.76,0,0,266.4,58
80.8,0,13,277.4,57
188.8,0,69,278.6,60
295.2,7.95,135,273.4,60
390.84,18.57,196,280.8,56
460.93,193.37,280,284.2,53
529.95,794.69,136,284.2,51
578.71,533.34,241,273.4,48
563.97,239.19,312,274.2,44
495.51,25.39,254,275.8,42
397.26,116.34,250,279.6,40
280.8,322.48,180,287,35
162.34,107.75,132,280.4,33
59.38,53.52,64,268.4,32
7.48,0,0,257.6,34
0,0,0,268.4,36
0,0,0,267.6,40
0,0,0,259.6,45
0,0,0,281.4,49
0,0,0,287.2,53
0,0,0,284,57
0,0,0,264.2,57
0,0,0,247.8,58
0,0,0,234.2,58
20.19,0,0,233.2,60
110.59,0,8,236.6,63
239.16,0,29,246.8,61
368.12,20.88,150,252.8,62
492.52,559.11,165,252.2,58
575.08,756.16,135,257.8,52
631.04,709,170,264.8,45
651.08,718.21,175,263.6,40
611.55,451.49,264,275.2,38
541.89,26.88,259,291.4,34
439.12,124.95,253,279.8,35
317.9,95.23,196,280,42
188.27,116.06,135,277.6,42
69.79,225.63,67,278.6,43
8.98,0,0,273.2,45
0,0,0,270.6,48
0,0,0,265,52
0,0,0,255.8,60
0,0,0,248.2,61
0,0,0,244.2,60
0,0,0,244.4,65
0,0,0,248.8,70
0,0,0,252.4,74
0,0,0,252.6,76
17.92,0,0,257,77
98.07,0,8,267.4,77
224.02,0,32,273.6,79
348.76,5.15,129,279.8,82
468.49,145.37,239,292.6,74
562.02,303.98,269,284.8,67
617.7,168.79,317,282.8,60
655.72,30.47,292,267.8,48
631.51,3.1,228,303.2,41
569.79,0,182,327.4,39
463.79,0,99,326.2,38
330.34,0,60,327.4,35
196.1,0,37,315.4,32
75.28,0,17,313.6,30
9.78,0,2,312,27
0,0,0,318,36
0,0,0,300.8,46
0,0,0,301.8,56
0,0,0,283.8,50
0,0,0,264.6,49
0,0,0,239.8,56
0,0,0,237.2,59
0,0,0,242,59
0,0,0,271,67
23.17,0,0,293.4,79
96.71,0,9,316,80
199.52,0,26,317.8,80
292.49,0,107,318.2,72
374.41,23.98,208,315.6,66
443.28,212.34,286,295.2,60
525.27,245.82,312,292,55
543.19,242.09,325,287.4,51
555.52,240.31,319,276,45
526.07,155.58,301,285.2,42
435.63,35.91,234,276.2,41
321.25,0,78,310.4,40
191.12,0,82,292.4,38
77.21,5.49,56,276.6,40
10.86,0,10,273,40
0,0,0,264.2,43
0,0,0,253.4,48
0,0,0,251.8,56
0,0,0,248.2,49
0,0,0,252,54
0,0,0,244.2,61
0,0,0,250,65
0,0,0,265.8,70
0,0,0,285.8,75
29.45,0,0,297.2,80
132.69,0,9,291.2,83
270.87,0,21,289.6,85
400.52,0,56,300,84
511.87,128.57,244,310.8,79
591.94,410.96,249,310.6,74
658.64,0,187,310.8,70
690.32,102.18,332,299.6,67
660.03,1.53,215,304.8,63
596,0,102,291.2,58
501.21,0,101,286.6,53
381.14,0,53,281.2,45
238.32,0,89,263.2,44
98.63,294.56,70,280.4,44
14.02,0,16,270,44
0,0,0,256.6,45
0,0,0,244.2,49
0,0,0,236.2,53
0,0,0,240.4,55
0,0,0,234.2,57
0,0,0,234,64
0,0,0,233.6,69
0,0,0,233.6,78
0,0,0,232.6,79
32.87,0,0,235,81
135.05,0,10,247.8,80
263.34,0,24,266.2,78
389.52,9.89,150,278.4,78
467.91,90.09,243,284,69
543.48,26.95,257,293.4,57
554.88,191.34,324,300.6,50
574.81,119.41,336,304.4,46
558.44,101.83,327,307,40
499.02,29.37,269,311.2,36
413.86,1.86,181,311.8,32
306.47,0,97,315.8,32
190.75,0,45,324.6,33
80.34,0,37,329.6,34
13.62,0,3,333,39
0,0,0,337,41
0,0,0,336.6,46
0,0,0,333.8,55
0,0,0,325.8,58
0,0,0,327.6,61
0,0,0,324.6,66
0,0,0,326.2,71
0,0,0,317.65,77
0,0,0,320.6,79
34.34,0,0,312.6,83
137.2,0,10,318.4,86
268.7,0,22,316.8,86
396.24,0,64,316.4,86
515.3,7.76,188,312.6,81
607.63,3.34,212,315.6,76
660.76,6.13,247,310.2,72
661.39,194.25,338,304.8,66
641.62,809.33,140,292.2,58
576.71,819.96,123,266.2,52
483.37,795.28,111,263.6,51
363.18,708.26,107,251,49
232.46,426.11,119,255.4,48
103.85,520.95,54,244.8,49
17.38,0,19,243.8,51
0,0,0,241.4,51
0,0,0,236.2,56
0,0,0,234.2,65
0,0,0,232,73
0,0,0,230.6,79
0,0,0,228.6,82
0,0,0,225.6,85
