Tsi,Tso
Tsi_C,Tso_C
3.420214986163140E-05,1.820515016718660E+00
3.955098426985830E-05,1.458128773476820E+00
4.548969472228540E-05,1.173799914817280E+00
5.205710583597810E-05,9.283186133842530E-01
5.929270515943130E-05,6.964615962133050E-01
6.723657219326940E-05,5.170627693286680E-01
7.592930088920160E-05,3.356609400942340E-01
8.541191462268550E-05,1.864136556667320E-01
9.572577313777770E-05,4.975282945438010E-02
1.069124715427590E-04,7.306440505161570E-02
1.190137320496160E-04,3.224319711886400E-01
1.320712897526260E-04,8.137982654536500E-01
1.461267742840490E-04,1.560130057773480E+00
1.612215896250710E-04,2.528205543637150E+00
1.773967946518740E-04,3.490561093395320E+00
1.946929871351900E-04,4.352340042836580E+00
2.131501938747860E-04,4.963200753434650E+00
2.328077694397140E-04,5.231860551537600E+00
2.537043056156230E-04,5.175407630678420E+00
2.758775531582090E-04,4.824440798622950E+00
2.993643568520080E-04,4.223886109714240E+00
3.242006042169940E-04,3.521044823973960E+00
3.504211875350340E-04,2.992410237801470E+00
3.780599782266970E-04,2.627034292803810E+00
4.071498120357480E-04,2.316552805695380E+00
4.377224830080940E-04,1.981715050901700E+00
4.698087439114610E-04,1.694746958284560E+00
5.034383105514100E-04,1.468026151993600E+00
5.386398674093320E-04,1.244695115166610E+00
5.754410721605040E-04,1.025561298095270E+00
6.138685569170880E-04,8.076513284303090E-01
6.539479244643030E-04,6.138033506212390E-01
6.957037382911550E-04,4.519207320184890E-01
7.391595058249690E-04,3.933279211835000E-01
7.843376549209790E-04,4.103655879004990E-01
8.312595042903020E-04,5.430555508836720E-01
8.799452291280590E-04,5.870064749891450E-01
9.304138236880570E-04,6.885994098531920E-01
9.826830629083020E-04,7.933285505280580E-01
1.036769465399030E-03,1.040030084713380E+00
1.092688260150050E-03,1.226895410293310E+00
1.150453359196920E-03,1.424075570586460E+00
1.210077338217080E-03,1.539152858960320E+00
1.271571426629900E-03,1.565180475623890E+00
1.334945508276740E-03,1.534685330952210E+00
1.400208133194830E-03,1.431236859540280E+00
1.467366540407280E-03,1.270431833300680E+00
1.536426691068490E-03,1.127148328590750E+00
1.607393310763120E-03,1.062500298217120E+00
1.680269939286470E-03,1.047519991435510E+00
1.755058985858910E-03,1.014912773216940E+00
1.831761787462070E-03,9.709656485803980E-01
1.910378667841130E-03,9.293725052997150E-01
1.990908994696420E-03,8.704462643198310E-01
2.073351232686090E-03,7.938664107344370E-01
2.157702990069570E-03,7.145254062020370E-01
2.243961057123210E-03,6.315441269952480E-01
2.332121434837980E-03,6.062222165760470E-01
2.422179352840450E-03,6.320361270773210E-01
2.514129275941180E-03,7.351669604763660E-01
2.607964899184580E-03,8.962835979750780E-01
2.703679131728320E-03,1.194652214722020E+00
2.801264070299370E-03,1.450170111775920E+00
2.900710963338700E-03,1.772777785260070E+00
3.002010167245710E-03,2.123830715832720E+00
3.105151096357460E-03,2.393598888683820E+00
3.210122168441930E-03,2.524196224057800E+00
3.316910747550250E-03,2.614610144974540E+00
3.425503086063720E-03,2.657043990439330E+00
3.535884267694920E-03,2.572434646711670E+00
3.648038153068960E-03,2.351402266307110E+00
3.761947329332270E-03,2.139489500866920E+00
3.877593065026040E-03,1.935832637811940E+00
3.994955271231300E-03,1.697585440434910E+00
4.114012469758270E-03,1.497194259021110E+00
4.234741768923520E-03,1.286336966977720E+00
4.357118847248500E-03,1.104759766647200E+00
4.481117945230180E-03,9.694242373241770E-01
4.606711865185810E-03,8.608082627002300E-01
4.733871979065430E-03,7.820569972154510E-01
4.862568244057120E-03,6.848978513298070E-01
4.992769225781060E-03,7.702131871373490E-01
5.124442128873440E-03,1.084272396909620E+00
5.257552834792480E-03,1.651587922344440E+00
5.392065946726500E-03,2.452001676093360E+00
5.527944841535770E-03,3.420481509121470E+00
5.665151728704680E-03,4.304258863383130E+00
5.803647716305970E-03,5.177184266073880E+00
5.943392883976510E-03,6.160068379941230E+00
6.084346362865710E-03,6.909297070418070E+00
6.226466422440850E-03,7.162984283844960E+00
6.369710563918890E-03,7.321228521082680E+00
6.514035619944600E-03,7.073709043682820E+00
6.659397859959890E-03,6.507926396334050E+00
6.805753100518030E-03,5.955566725090230E+00
6.953056819604370E-03,5.454770501744880E+00
7.101264273846040E-03,4.920483386702300E+00
7.250330617344770E-03,4.452133681356320E+00
7.400211020764160E-03,4.050851471171010E+00
7.550860789262050E-03,3.700258719245710E+00
7.702235477891130E-03,3.418981597501080E+00
7.854291003206740E-03,3.150291552275460E+00
8.006983750021760E-03,2.881988343798150E+00
8.160270672532880E-03,2.645362345350290E+00
8.314109389398980E-03,2.485229062205640E+00
8.468458272763010E-03,2.418946251993150E+00
8.623276531649720E-03,2.545508546892360E+00
8.778524290611330E-03,2.842138104871780E+00
8.934162664899000E-03,3.242046227993610E+00
9.090153833776270E-03,3.879556245376600E+00
9.246461113829100E-03,4.815809933848290E+00
9.403049034241960E-03,5.709287148752220E+00
9.559883415982720E-03,6.262372996468440E+00
9.716931456664760E-03,6.825097205133100E+00
9.874161822535960E-03,7.188290089840690E+00
1.003154474859750E-02,7.248012833962940E+00
1.018905214730490E-02,6.862946863963480E+00
1.034665772567820E-02,6.280720817595060E+00
1.050433710999160E-02,5.777083886943280E+00
1.066206797655660E-02,5.429178875454710E+00
1.081983018650190E-02,5.084780461417190E+00
1.097760592192200E-02,4.738372810949610E+00
1.113537982034910E-02,4.451840425743320E+00
1.129313910422280E-02,4.097745784547680E+00
1.145087370191000E-02,3.884160214503050E+00
1.160857635687350E-02,3.647375236600090E+00
1.176624272180480E-02,3.379743165055250E+00
1.192387143490830E-02,3.172283217229270E+00
1.208146417604460E-02,2.990054854791120E+00
1.223902570107220E-02,2.912517084090260E+00
1.239656385343950E-02,3.071468998672750E+00
1.255408955282970E-02,3.414532703650820E+00
1.271161676141150E-02,3.928061386860280E+00
1.286916242894750E-02,4.541380391622140E+00
1.302674641862440E-02,5.236390045029800E+00
1.318439141596350E-02,6.001877676179010E+00
1.334212282351260E-02,6.721906176352920E+00
1.349996864420960E-02,7.093908185437920E+00
1.365795935632960E-02,7.272753181402180E+00
1.381612778279590E-02,7.320577824274790E+00
1.397450895736640E-02,7.071480161918370E+00
1.413313998982490E-02,6.638455720922040E+00
1.429205993184690E-02,6.154026090717990E+00
1.445130964469960E-02,5.787054295670230E+00
1.461093166941720E-02,5.461831151803390E+00
1.477097009960060E-02,5.135692222333480E+00
1.493147045654840E-02,4.842405833501220E+00
1.509247956607450E-02,4.554162847945180E+00
1.525404543611430E-02,4.277667035943730E+00
1.541621713409070E-02,4.023538534798650E+00
1.557904466300770E-02,3.753529399493450E+00
1.574257883535460E-02,3.521535873787670E+00
1.590687114413670E-02,3.263450632240530E+00
1.607197363067350E-02,3.216051834335130E+00
1.623793874919670E-02,3.376226812096420E+00
1.640481922871230E-02,3.675708473941590E+00
1.657266793301670E-02,4.118303103983870E+00
1.674153772015720E-02,4.717539899445180E+00
1.691148130295330E-02,5.306504674184630E+00
1.708255111243520E-02,5.989306823518990E+00
1.725479916617450E-02,6.832907507873430E+00
1.742827694348460E-02,7.462804467927270E+00
1.760303526933580E-02,7.815835485462950E+00
1.777912420858850E-02,7.881388934923910E+00
1.795659297179660E-02,7.606426600099410E+00
1.813548983340440E-02,7.147088817503920E+00
1.831586206268120E-02,6.663657353275750E+00
1.849775586723150E-02,6.313699593589730E+00
1.868121634842560E-02,5.985241520390010E+00
1.886628746763820E-02,5.687542328505650E+00
1.905301202179280E-02,5.380545801339120E+00
1.924143162641100E-02,5.092617163108870E+00
1.943158670417350E-02,4.827083336243420E+00
1.962351647693260E-02,4.581851674008100E+00
1.981725895917230E-02,4.299123688024620E+00
2.001285095109450E-02,4.020096928875400E+00
2.021032802980570E-02,3.807112800292000E+00
2.040972453747260E-02,3.755925826254390E+00
2.061107356577760E-02,3.893931114814550E+00
2.081440693650370E-02,4.215549836921020E+00
2.101975517859300E-02,4.745458380921800E+00
2.122714750249170E-02,5.512719960313830E+00
2.143661177301100E-02,6.460425819792860E+00
2.164817448224860E-02,7.219312643717720E+00
2.186186072431870E-02,7.976401190102910E+00
2.207769417371070E-02,8.611671693031810E+00
2.229569706903590E-02,8.930093541175460E+00
2.251589020373450E-02,8.911355354737760E+00
2.273829292501400E-02,8.818138274556770E+00
2.296292314189720E-02,8.594019043657210E+00
2.318979734280250E-02,8.196950557969770E+00
2.341893062258930E-02,7.851864971158820E+00
2.365033671850790E-02,7.639281707020170E+00
2.388402805403530E-02,7.417810210240620E+00
2.412001578917690E-02,7.108814187385510E+00
2.435830987550180E-02,6.809665286122030E+00
2.459891911397480E-02,6.509291299433420E+00
2.484185121357010E-02,6.223018144931670E+00
2.508711284870080E-02,5.976864735766940E+00
2.533470971368280E-02,5.725039388455620E+00
2.558464657275190E-02,5.495800958085640E+00
2.583692730456180E-02,5.444749538403820E+00
2.609155494056610E-02,5.561312595518400E+00
2.634853169721750E-02,5.885618549656210E+00
2.660785900244130E-02,6.406877503709550E+00
2.686953751734440E-02,7.141432551143840E+00
2.713356715455020E-02,7.912867869097120E+00
2.739994709488490E-02,8.720945046127490E+00
2.766867580435760E-02,9.304249737855770E+00
2.793975105345070E-02,9.751370763499040E+00
2.821316994067910E-02,1.005735848951450E+01
2.848892892217720E-02,1.008936286284240E+01
2.876702384875600E-02,9.793502294248690E+00
2.904745001145240E-02,9.233353589030110E+00
2.933020219610370E-02,8.790221923859920E+00
2.961527474694640E-02,8.495219989266100E+00
2.990266163870010E-02,8.108980314828670E+00
3.019235655608230E-02,7.682480310871480E+00
3.048435297924400E-02,7.345197887826430E+00
3.077864427324470E-02,7.059413519758060E+00
3.107522377942320E-02,6.791731075109860E+00
3.137408490638840E-02,6.586438988058430E+00
3.167522121834780E-02,6.419708671984180E+00
3.197862651863400E-02,6.250964858597010E+00
3.228429492654430E-02,6.125140547884400E+00
3.259222094598470E-02,6.065171267929380E+00
3.290239952485730E-02,6.154375628749160E+00
3.321482610463770E-02,6.365272508191820E+00
3.352949666010380E-02,6.733652055507820E+00
3.384640772967210E-02,7.252929330962720E+00
3.416555643723290E-02,7.670053929803010E+00
3.448694050672170E-02,8.108138855957990E+00
3.481055827090020E-02,8.533941040413220E+00
3.513640867592860E-02,8.691336357288310E+00
3.546449128329090E-02,8.637088116669090E+00
3.579480627049500E-02,8.396958836200490E+00
3.612735443171600E-02,8.027895447807220E+00
3.646213717921570E-02,7.490396959356760E+00
3.679915654597760E-02,6.849563594273960E+00
3.713841518957360E-02,6.290625794871620E+00
3.747991639685820E-02,5.778081495356110E+00
3.782366408870250E-02,5.331020095076820E+00
3.816966282365340E-02,4.962988159284030E+00
3.851791779915910E-02,4.671221884266930E+00
3.886843484885890E-02,4.371802407972200E+00
3.922122043439990E-02,4.133776352537630E+00
3.957628163031560E-02,3.920135809532000E+00
3.993362610068380E-02,3.732756259497240E+00
4.029326206655340E-02,3.606731564873160E+00
4.065519826347490E-02,3.750388113369950E+00
4.101944388886490E-02,4.178460603473000E+00
4.138600853934790E-02,4.838044946734010E+00
4.175490213862140E-02,5.779826801315960E+00
4.212613485675420E-02,7.011134479677540E+00
4.249971702212050E-02,8.190202335209330E+00
4.287565902738590E-02,9.360280232265870E+00
4.325397123106630E-02,1.023133874458480E+01
4.363466385618450E-02,1.074797736484440E+01
4.401774688744900E-02,1.077425034319610E+01
4.440322996818720E-02,1.041235183922180E+01
4.479112229799910E-02,9.721580287218230E+00
4.518143253178370E-02,8.876949103262750E+00
4.557416868044570E-02,8.008488702396320E+00
4.596933801325920E-02,7.326786557095690E+00
4.636694696155690E-02,6.771699624612650E+00
4.676700102317490E-02,6.265859250822400E+00
4.716950466691830E-02,5.735648847372780E+00
4.757446123625690E-02,5.318530614042910E+00
4.798187285151740E-02,4.973296604049470E+00
4.839174031001590E-02,4.652361022472810E+00
4.880406298387360E-02,4.368937985801370E+00
4.921883871565890E-02,4.112225000419290E+00
4.963606371248680E-02,3.897010242487180E+00
5.005573243974310E-02,3.919647047729840E+00
5.047783751615280E-02,4.238340211145570E+00
5.090236961242530E-02,4.792991840198340E+00
5.132931735615390E-02,5.586619285942070E+00
5.175866724596350E-02,6.456858439267400E+00
5.219040357806510E-02,7.280414941732640E+00
5.262450838835580E-02,8.159746921422510E+00
5.306096141299500E-02,9.063121741428190E+00
5.349974006998140E-02,9.709088877825540E+00
